NPO,服務項目,服務對象,網站,電子郵件,聯絡電話,所在縣市,聯絡人
社團法人中華民國婦幼關懷成長協會,,,http://www.twc.org.tw,hellen@twc.org.tw,04-22075566,台中市,陳政信
社團法人中華民國學習障礙協會,心理層面之支持、重建、諮商、教育輔導、其他,其他、家庭、身心障礙,http://ald.daleweb.org/,ocd00229@ms36.hinet.net,02-27360297分機802,台北市,黃千榕
社團法人中華民國家庭關係發展協進會,社會教育、推廣教育、親職教育、宣導防治,社區居民、原住民、家庭、老人、婦女、青少年,,family@mail.thu.edu.tw,04-24616781,台中市,張資寧
社團法人中華民國小胖威利病友關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、休閒/體育及文化活動、照顧者支持與訓練、諮詢服務和轉介,其他、家庭、身心障礙,http://www.pwsa.org.tw/,pwsa@pwsa.org.tw,02-27780996分機12,台北市,張慧文
社團法人中華民國工作傷害受害人協會,心理層面之支持、重建、諮商、到宅服務、就業服務、諮詢服務和轉介、社會網絡與倡導,其他、勞工、家庭、青少年、身心障礙,https://www.unitedway.org.tw/1992tavoi%40gmail.com,gcy4951@yahoo.com.tw,02-25282938分機0,台北市,楊國楨
社團法人中華民國康復之友聯盟,專業訓練、教育輔導、諮詢服務和轉介、社會網絡與倡導,其他、社區居民、組織專業、身心障礙,http://www.tamiroc.org.tw/,tamiroc@tamiroc.org.tw,02-23951206,台北市,葉婉俐
社團法人中華民國得勝者教育協會,教育輔導、志工培訓、管理,社區居民、青少年、兒童,http://www.champ.org.tw,elim@champ.org.tw,02-87976131分機221,台北市,辛宜琳
社團法人中華民國恩友愛心協會,生活層面之支持與重建、心理層面之支持、重建、諮商、住宿服務、其他,其他、遊民,http://www.good119.org,abago999@gmail.com,02-27751712,台北市,詹熒熒
社團法人中華民國恩福會,生活層面之支持與重建、疾病或藥酒毒癮服務、教育輔導、就業服務、職前準備及訓練,藥酒毒癮者,http://enfu.twcom.net/,enfu.hwei93@msa.hinet.net,03-7254349,苗栗縣,陳蘭芳
社團法人中華民國愛加倍社會福利關懷協會,教育輔導、輔助科技及無障礙環境協助、就業服務、照顧者支持與訓練、社會網絡與倡導,家庭、身心障礙,http://www.agape-welfare.org.tw,aswa@agape-welfare.org.tw,02-25869329,台北市,江雅玲
社團法人中華民國愛滋感染者權益促進會,生活層面之支持與重建、疾病或藥酒毒癮服務、性別及婚姻支持服務、諮詢服務和轉介、社會網絡與倡導,其他、受刑人、疾病患者,http://praatw.org,praatw@gmail.com,02-25561383,台北市,葉珈語
社團法人中華民國我為人人實踐推廣協會,,,http://www.beda.org.tw,rejoice107@gmail.com,06-2743596,台南市,羅麗蘭
社團法人中華民國新生活社會福利發展促進會,生活層面之支持與重建、教育輔導、就業服務、諮詢服務、志工培訓、管理,其他、家庭,http://www.newlifesw.org.tw,newlifeswoffice@gmail.com,02-26369818,新北市,郝燕芬
社團法人中華民國星橋愛心服務協會,收容安置、在宅服務、居家照顧、社區發展、輔導諮商、自殺防治、志願服務、專業訓練、緊急庇護、其他,,http://home.kimo.com.tw/hsin_chao,hsin.chao@msa.hinet.net,27350788,台北市,吳雅玲
社團法人中華民國普門慈幼慈善會,生活層面之支持與重建、教育輔導、志工培訓、管理、諮詢服務和轉介、其他,其他、家庭、青少年、兒童,http://www.pumn.org.tw/index.php,marxism0211@hotmail.com,07-2239971,高雄市,黃惠春
社團法人中華民國晴天社會福利協會,,,http://www.sunnyswa.org.tw,sunnyhouse29@gmail.com,03-3676865分機19,桃園縣,賴宏昇
社團法人中華民國智障者家長總會辦理名間鄉第一生活重建服務中心活重建中心,,,http://www.papmh.org.tw,Pampmh1@ms33.hinet.net,049-2231739,南投縣,李安爵
社團法人中華民國智障者體育運動協會,休閒/體育及文化活動,家庭、身心障礙,http://www.soct.org.tw,chinesetaipei@soct.org.tw,02-25989571,台北市,綦振翊
社團法人中華民國殘障人協會,生活層面之支持與重建、心理層面之支持、重建、諮商、家屬或照顧者支持與訓練、就業準備及訓練、社會宣導,老人、身心障礙,http://home.kimo.com.tw/tdpa91/,tdpa91@yahoo.com.tw,07-7639380分機0,高雄市,陳文琪
社團法人中華民國海員漁民權益保護協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、就業服務,其他、家庭、兒童,http://www.pctsfsc.org.tw,sfsc@ms54.hinet.net,07-8227296,高雄市,呂英慈
社團法人中華民國牧愛生命協會,生活層面之支持與重建、心理層面之支持、重建、諮商、志工培訓、管理、諮詢服務和轉介、自殺防治,社區居民、組織專業、老人、婦女、兒童、身心障礙,http://www.call.org.tw,love.farming@msa.hinet.net,07-5218931,高雄市,顏雁欣
社團法人中華民國瑪納有機文化生活促進會,就業準備及訓練、就業服務、社會宣導、社區營造/文化產業、其他,社區居民、原住民,http://www.manna.org.tw,fangyi@aoseg.tw,02-29089323分機120,新北市,陳芳宜
社團法人中華民國生活調適愛心會,專業訓練、心理層面之支持、重建、諮商、志工培訓、管理,其他、疾病患者、身心障礙,http://www.ilife.org.tw/,ilife.org@msa.hinet.net,02-27590086,台北市,李力青
社團法人中華民國紅十字會台灣省台中市支會,生活層面之支持與重建、心理層面之支持、重建、諮商、家屬或照顧者支持與訓練、就業服務、志工培訓、管理,社區居民、老人、婦女、青少年、兒童、身心障礙,http://www.redcross.tw/,sweetlife_7998@yahoo.com.tw,04-22222411分機201,台中市,陳玠甫
社團法人中華民國群園關懷協會,經濟扶助、宣導防治、關懷訪視,青少年、兒童,http://www.chionyuan.org.tw/gx,fund@chionyuan.org.tw,,台中市,林俞萱
社團法人中華民國聽障人協會,就業服務,身心障礙,http://www.cnad.org.tw,cnad001@ms16.hinet.net,02-28852130,台北市,邱子芸
社團法人中華民國聾人協會,專業訓練、休閒/體育及文化活動、就業服務、志工培訓、管理,社區居民、身心障礙,http://www.nad.org.tw,naddeaf@gmail.com,02-25523082,台北市,高鳳鳴
社團法人中華民國聾啞資源協會,職業訓練、就業輔導、社會教育、推廣教育、社區發展、權益倡導、志願服務、專業訓練,身心障礙,http://www.dra.org.tw,dra@webtree.net.tw,04-8757083,彰化縣,李豫琳
社團法人中華民國肌萎縮症病友協會,生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、照顧者支持與訓練、諮詢服務和轉介,疾病患者、家庭、身心障礙,http://www.mda.org.tw,tmda@mda.org.tw,07-3801000,高雄市,黃詩喬
社團法人中華民國肯愛社會服務協會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理、自殺防治,疾病患者、社區居民、青少年、兒童、身心障礙,http://www.canlove.org.tw,juliantsai@canlove.org.tw,02-66171885分機14,台北市,呂紋呢
社團法人中華民國脊髓損傷者聯合會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、就業服務、諮詢服務,其他、組織專業,https://www.unitedway.org.tw/www.fsci.org.tw.,roc.fsci.@msa.hinet.net,02-2332-8120,台北市,李逸群
社團法人中華民國自主學習促進會,社會教育、推廣教育、親職教育,家庭、青少年,http://www.alearn.org.tw,alearn.org@msa.hinet.net,02-86615725,台北市,陳郁玲
社團法人中華民國荒野保護協會,社會教育、推廣教育、志願服務、專業訓練、其他,其他、兒童、身心障礙,https://www.sow.org.tw/,ann@wilderness.tw,02-23071568分機18,台北市,袁雲英
社團法人中華民國血友病協會,生活層面之支持與重建、心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、照顧者支持與訓練、諮詢服務和轉介,其他、疾病患者、身心障礙,http://hemophiliaformosa.blogspot.tw/,hemophiliaformosa@gmail.com,02-23910544,台北市,蕭景瑜
社團法人中華民國視障者家長協會,,,https://www.facebook.com/groups/132783076820360/,singjie@forblind.org.tw,02-27184369,台北市,藍介洲
社團法人中華民國貓頭鷹親子教育協會,專業訓練、教育輔導、社區營造/文化產業、志工培訓、管理、其他,其他、受刑人、社區居民、家庭、青少年、兒童、身心障礙,http://www.owltale.org.tw,owltale0325@gmail.com,02-23619710,台北市,陳東玉
社團法人中華民國身心障礙聯盟,專業訓練、社會網絡與倡導、其他,組織專業、身心障礙,http://www.enable.org.tw/,league@enable.org.tw,02-2511-0836分機25,台北市,林恩淇
社團法人中華民國軟骨發育不全症病友關懷協會,,,https://lptw.eoffering.org.tw/,tlpa2011.11.12@gmail.com,02-25412199,台北市,朱桂瑢
社團法人中華民國輔助科技促進職業重建協會,,,http://www.o2u.org.tw,info@o2u.org.tw,,台北市,耿淑楣
社團法人中華民國道德重整協會,心理層面之支持、重建、諮商、教育輔導、志工培訓、管理,其他、家庭、青少年,http://www.mra.org.tw,taiwan.iofc@msa.hinet.net,06-2820-320,台南市,歐陽慧芳
社團法人中華民國防癌協會,宣導防治、關懷訪視、藥酒癮戒除、健康維護、其他,原住民、婦女,http://www.ccst.org.tw,honest@ms94.url.com.tw,02-27031511,高雄市,黃瑞典
社團法人中華民國雲水蘭若文教協會,專業訓練、心理層面之支持、重建、諮商、教育輔導、休閒/體育及文化活動、志工培訓、管理,其他、社區居民、原住民、青少年、兒童,http://www.wish-aranya.org.tw/index.asp,ta.yu@msa.hinet.net,04-22659479,台中市,潘溢憫
社團法人中華溝通分析協會,社會教育、推廣教育、社區發展、權益倡導、輔導諮商、自殺防治、專業訓練、親職教育、法律諮詢、宣導防治、關懷訪視、健康維護,其他、社區居民、組織專業、婦女、兒童,http://www.ttaa.tw/,infottaa@gamil.com,08-7362139分機0,屏東縣,徐盈潔
社團法人中華漢翔百元扶幼協會,專業訓練、生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導,家庭、青少年、兒童,http://sinoaidc.blogspot.tw/,sinoaidc@gmail.com,04-26153567,台中市,張婉亭
社團法人中華牧羊人青少年關懷協會,,,http://hqok876351.pixnet.net/blog,shepherds9999@gmail.com,03-7225823,苗栗縣,田志偉
社團法人中華玻璃娃娃社會關懷協會,專業訓練、心理層面之支持、重建、諮商、家屬或照顧者支持與訓練、諮詢服務、社會宣導,疾病患者,http://www.oif.org.tw,s.w.lin@yahoo.com.tw,02-25224036,台北市,林榆芬
社團法人中華生命勵關懷協會,職業訓練、就業輔導、社會教育、推廣教育、社區發展、早期療育、志願服務、康樂休閒、健康維護,社區居民、組織專業、家庭、婦女、身心障礙,http://lifego.org.tw,mail20041213@yahoo.com.tw,(02)2727-0907,台北市,潘曉琪
社團法人中華白絲帶關懷協會,心理層面之支持、重建、諮商、到宅服務、志工培訓、管理、諮詢服務和轉介,家庭、青少年,http://www.cyberangel.org.tw,ginger@win.org.tw,02-89315185分機307,台北市,姜惠玉
社團法人中華科技輔具協會,,,http://www.caat.org.tw,parbotrp@gmail.com,02-86656223分機0,新北市,高奇麟
社團法人中華育幼機構兒童關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、志工培訓、管理、住宿服務、社會網絡與倡導,組織專業、青少年、兒童,http://www.childrenhome.org.tw,ccsa@childrenhome.org.tw,02-25639595分機101,台北市,洪錦芳
社團法人中華萱民會,到宅服務,老人、婦女、身心障礙,http://www.facebook.com/SheTuanFaRenZhongHuaXuanMinHui,hrcheng@jhf.org.tw,08-7217875,屏東縣,陳慧蓉
社團法人中華青少年純潔運動協會,,,http://www.purelove.org.tw/,yy33992000@gmail.com,02-23699547,台北市,楊佳倩
社團法人南投縣中寮鄉龍眼林福利協會,日間照顧、其他,社區居民、老人、青少年、兒童、身心障礙,http://www.lil20005.org.tw/,lil20005@ms39.hinet.net,04-92601297,南投縣,廖振益
社團法人南投縣基督教青年會,日間照顧、到宅服務、休閒/體育及文化活動、志工培訓、管理、職前準備及訓練,社區居民、原住民、家庭、老人、婦女、青少年、兒童、身心障礙,https://www.facebook.com/ntYMCA,ymca@nantou-ymca.org.tw,04-92326196,南投縣,朱德華
社團法人南投縣天主教山地服務研究社,教育輔導、社會網絡與倡導、其他,社區居民、老人、婦女、青少年、兒童,https://www.unitedway.org.tw/htpp%3A//tw.myblog.yahoo.com/temi.nawi,k475676@yahoo.com.tw,04-92941928,南投縣,高小娟
社團法人南投縣婦女會,教育輔導、就業準備及訓練、就業服務、諮詢服務、社會宣導,其他、家庭、婦女、青少年,https://www.unitedway.org.tw/%E7%84%A1,womens.group@msa.hinet.net,-04-92222636,南投縣,劉麗雪
社團法人南投縣家庭照顧者關懷協會,,,,angel458863@hotmail.com,04-92248595,南投縣,林秀貞
社團法人南投縣康復之友協會,心理層面之支持、重建、諮商、就業服務、志工培訓、管理、職前準備及訓練、諮詢服務和轉介,藥酒毒癮者、社區居民、身心障礙,http://www.ntpys.artcom.tw,mranc2422925@yahoo.com.tw,04-92422925,南投縣,張婉貞
社團法人南投縣心理衛生協進會,復康復健、職前準備及訓練、照顧者支持與訓練,社區居民、家庭、身心障礙,http://www.nato-cm1.org.tw,nato.cm1@msa.hinet.net,04-92328818,南投縣,黃郁芯
社團法人南投縣慈慧善行協會,在宅服務、居家照顧、經濟扶助、志願服務、關懷訪視,社區居民、家庭、老人、身心障礙,http://tsu-huey.myweb.hinet.net,tsuhuey1@ms33.hinet.net,049-2200718,南投縣,林鳳玉
社團法人南投縣智障者家長協會,日間照顧、生活層面之支持與重建、臨時及短期照顧-身障者、到宅服務,家庭、身心障礙,https://www.unitedway.org.tw/http%EF%BC%9Awww.papid.org.tw/,ms434@seed.net.tw,04-92760774,南投縣,林佳蓉
社團法人南投縣生命線協會辦理中寮鄉第二生活重建服務中心,,,,nt241995@ms45.hinet.net,049-2601388,南投縣,賈紫平.沈倩玉
社團法人南投縣生活重建協會,日間照顧、生活層面之支持與重建、教育輔導、到宅服務、社區居住/照顧,其他、老人、兒童、身心障礙,http://www.ntlife-liaw.url.tw/infoweb/,Liaw.a0423@msa.hinet.net,04-92720640,南投縣,黃安妮
社團法人南投縣社區家庭支援協會,,,http://www.meworks.net/meworksv2a/meworks/page.aspx?no=38924,c458912004@hotmail.com,04-92647906,南投縣,劉煜洋
社團法人南投縣竹山鎮愛加倍協會,社會教育、推廣教育、社區發展、輔導諮商、自殺防治、志願服務、專業訓練、安親課輔、問安服務、資訊提供、宣導防治、其他,社區居民、原住民、家庭、婦女、青少年、兒童,,cs_agabei@yahoo.com.tw,(049)2649940(空號),南投縣,璣谷古尼
社團法人南投縣聾啞福利協進會,,,,Janny33@ms59.hinet.net,049-2241211,南投縣,李建勳
社團法人南投縣脊髓損傷者協會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、諮詢服務和轉介、社會網絡與倡導,身心障礙,http://n422t446.myweb.hinet.net/,n422.t446@msa.hinet.net,04-92982176,南投縣,張素華
社團法人南投縣蒙愛家庭關懷協會,教育輔導、休閒/體育及文化活動,青少年、兒童,http://menai.yes.org.tw/,mjyslin@gmail.com,04-92990041,南投縣,林郁珊
社團法人南投縣青年返鄉服務協會,教育輔導、休閒/體育及文化活動、就業服務、志工培訓、管理、社會網絡與倡導,其他、社區居民、原住民、家庭、老人、婦女、青少年、兒童,https://www.unitedway.org.tw/%E7%84%A1,ntysg2006@gmail.com,04-92233325,南投縣,洪志杰
社團法人南投縣鹿谷鄉清水溝重建工作協會,專業訓練、社區居住/照顧、社區營造/文化產業,社區居民、原住民、組織專業、老人、婦女,http://www.lukutea.com.tw,tea.luku@msa.hinet.net,04-92672099,南投縣,陳孟淳
社團法人南投縣麻煩小天使協會,日間照顧、心理層面之支持、重建、諮商、臨時及短期照顧-身障者、教育輔導、照顧者支持與訓練,青少年、兒童、身心障礙,http://www.ntangel.org.tw,ntangel.angel@msa.hinet.net,04-92358482,南投縣,李舒妃
社團法人原住民深耕德瑪汶協會,社區居住/照顧、社區營造/文化產業,原住民、老人、青少年、兒童,http://www.daanriver.org.tw/,snake0108@hotmail.com,04-25911550,台中市,穆佩玉
社團法人台中市亞斯伯格症肯納症協進會,,,http://www.tcasd.org/,tcasd.sw1@gmail.com,04-22918197,台中市,彭中堯
社團法人台中市保母協會,臨時托育服務-非身障者、臨時及短期照顧-身障者、到宅服務、社區居住/照顧、照顧者支持與訓練,社區居民、家庭、婦女、兒童、身心障礙,http://boumo.org.tw/,y880788.ah@msa.hinet.net,04-22965785,台中市,余宥嫻
社團法人台中市優力卡社區服務協會,日間照顧、社區發展、志願服務、安親課輔、親職教育、宣導防治、關懷訪視,其他、家庭、老人、婦女、青少年、兒童,http://www.teamtc.tw,stan@teamtc.tw,04-22296968,台中市,吳政宏
社團法人台中市啟明重建福利協會,,,http://www.chimingtaichung.org,chimingtaichung@gmail.com,04-22035858,台中市,徐秀慧
社團法人台中市啟智協進會,日間照顧、教育輔導、到宅服務、休閒/體育及文化活動、諮詢服務和轉介,家庭、身心障礙,http://www.tcmr.org.tw/,b200790@yahoo.com.tw,04-24721845,台中市,黃采樺
社團法人台中市圓愛全人關懷協會,社會教育、推廣教育、輔導諮商、自殺防治、專業訓練、安親課輔、親職教育、關懷訪視,家庭、老人、婦女、青少年、兒童,http://www.agapelove.org.tw,a0952366931@yahoo.com.tw,04-22056797,台中市,翁寶釵
社團法人台中市城市之光關懷協會,,,https://www.unitedway.org.tw/%E7%84%A1,slc22383998@gmail.com,04-22383998,台中市,黃世宏
社團法人台中市基督徒平安會,生活層面之支持與重建、心理層面之支持、重建、諮商、性別及婚姻輔導、家屬或照顧者支持與訓練、教育輔導,受刑人、遊民、勞工、社區居民、原住民、組織專業、家庭、老人、婦女、青少年、兒童,,sam741541@gmail.com,04-22939717,台中市,羅依婷
社團法人台中市基督教青年會,生活層面之支持與重建、教育輔導、休閒/體育及文化活動、志工培訓、管理,其他、社區居民、組織專業、家庭、婦女、青少年、兒童,http://www.tcymca.org.tw,ymcasw@gmail.com,04-22200603分機8,台中市,謝淑琪
社團法人台中市婦幼關懷成長協會,專業訓練、教育輔導、社區營造/文化產業、志工培訓、管理,家庭、婦女、青少年、兒童,http://www.twc.org.tw,joanna@twc.org.tw,04-22075566,台中市,張仕樺
社團法人台中市學習動力協會,職業訓練、社會教育、推廣教育、志願服務、專業訓練、親職教育、資訊提供、其他,,http://www.together.org.tw,together_phd@yahoo.com.tw,04-23142372,台中市,許素珠
社團法人台中市山海屯脊髓損傷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、休閒/體育及文化活動、諮詢服務和轉介,身心障礙,http://www.sci.bexweb.tw,sci.6256@yahoo.com.tw,04-25316261,台中市,劉忠和
社團法人台中市康復之友協會,日間照顧、生活層面之支持與重建、就業服務、職前準備及訓練、照顧者支持與訓練,其他、社區居民、家庭、身心障礙,http://www.mratc.org.tw,mental2.mratc@msa.hinet.net,04-24715298,台中市,陳幗英
社團法人台中市慈善撒瑪黎雅婦女關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、就業服務、住宿服務,其他、遊民,http://gswc.org.tw/,803women@gmail.com,04-22805075,台中市,潘欣宜
社團法人台中市晚晴婦女協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、性別及婚姻支持服務、諮詢服務和轉介,婦女、青少年、兒童,http://warmlife99.iwomenweb.org.tw/,warmlife99@gmail.com,04-23710171分機13,台中市,李怡珍
社團法人台中市智障者家長協會,生活層面之支持與重建、到宅服務、社區居住/照顧、諮詢服務和轉介、社會網絡與倡導,身心障礙,https://www.unitedway.org.tw/j23152578%40yahoo.com.tw,j23152578@yahoo.com.tw,04-23809595,台中市,陳姝妤
社團法人台中市東區東信社區發展協會,,,http://sixstar.moc.gov.tw/blog/dongxin,dong-xin@hotmail.com,04-22152135,台中市,葉芃妘
社團法人台中市生命線協會,專業訓練、心理層面之支持、重建、諮商、志工培訓、管理、諮詢服務和轉介、自殺防治,其他,http://www.tc1995.org.tw/,tcll9595@ms14.hinet.net；shine94530@yahoo.com.tw,04-22089595,台中市,廖純兒
社團法人台中市社區融合支持協會,,,http://www.inclusion.org.tw/,inclusion001@gmail.com,04-23762098,台中市,嚴書祈
社團法人台中市社會關懷服務協會,日間照顧、心理層面之支持、重建、諮商、社區居住/照顧、就業服務、志工培訓、管理,其他、遊民、社區居民、組織專業、老人、婦女、身心障礙,http://careyou.eshare.org.tw,hrc1979@gmail.com,04-22126411,台中市,江驊融
社團法人台中市聲暉協進會,心理層面之支持、重建、諮商、就業服務、志工培訓、管理、照顧者支持與訓練、諮詢服務和轉介,家庭、身心障礙,http://www.tcsh.org.tw/ap/index.aspx,q24711137@yahoo.com.tw,04-24711137,台中市,呂淑雯
社團法人台中市聾人協會,,,http://www.tcnad.artcom.tw/ap/index.aspx,thipa002@gmail.com,04-22239887,台中市,李貞樺
社團法人台中市脊髓損傷者協會,生活層面之支持與重建、心理層面之支持、重建、諮商、輔助科技及無障礙環境協助、休閒/體育及文化活動、諮詢服務和轉介,身心障礙,http://www.tcsci.org.tw,newtcsci@gmail.com,04-24731074,台中市,王彩鳳
社團法人台中市自閉症教育協進會,生活層面之支持與重建、就業服務、職前準備及訓練、照顧者支持與訓練、諮詢服務和轉介,家庭、身心障礙,http://www.taea.org.tw/,kn20257171@gmail.com,04-24723219,台中市,尤霈婷
社團法人台中市觀護協會,就業輔導、社會教育、推廣教育、輔導諮商、自殺防治、親職教育、問安服務、更生保護、宣導防治、緊急生活重建、關懷訪視、健康維護,青少年,https://www.unitedway.org.tw/%E8%AB%8B%E5%A1%AB%E7%B6%B2%E5%9D%80,y2333.y0195@msa.hinet.net,,台中市,楊水清
社團法人台中市身心障礙者體育會,輔助科技及無障礙環境協助、休閒/體育及文化活動、其他,身心障礙,http://www.tdpsf.org,tdpsf.29@gmail.com,04-23724527,台中市,楊乃霖
社團法人台中市開懷協會,心理層面之支持、重建、諮商、志工培訓、管理、其他,疾病患者、社區居民,http://www.kaihuai.org.tw/Pages/default.aspx,tckaihuai@gmail.com,04-24625990,台中市,陳筱茜
社團法人台中縣春天女性成長協會,生活層面之支持與重建、就業服務、職前準備及訓練,其他、社區居民、婦女,,yang41721@yahoo.com.tw,04-25871719,台中市,鍾孟芳
社團法人台中縣殘障福利協進會,職業訓練、就業輔導、醫療協助、經濟扶助、權益倡導、輔導諮商、自殺防治、志願服務、輔具服務、康樂休閒、資訊提供、法律諮詢、關懷訪視,身心障礙,,s8611103@alumni.pu.edu.tw,04-24837347,台中市,劉邦真
社團法人台中縣聽障生活障礙發展協會,心理層面之支持、重建、諮商、教育輔導、輔助科技及無障礙環境協助、就業準備及訓練、志工培訓、管理,身心障礙,http://tw.myblog.yahoo.com/helpdeaf/,daniel@deaflive.org.tw,04-22332525,台中市,羅月惠
社團法人台中縣蓮心自強服務協會,日間照顧、到宅服務、就業服務、社會網絡與倡導,社區居民、老人、身心障礙,http://www.463.org.tw/,tc463.tc@msa.hinet.net,04-26869089,台中市,黃俊凱
社團法人台中縣親子閱讀協會,職業訓練、就業輔導、社會教育、推廣教育、社區發展、權益倡導、志願服務、專業訓練、托育服務、安親課輔、親職教育、康樂休閒、關懷訪視、其他,社區居民、婦女、兒童,https://www.unitedway.org.tw/%E7%84%A1,c500402@yahoo.com.tw,04-25271292,台中市,許秉桓
社團法人台北市八頭里仁協會,心理層面之支持、重建、諮商、教育輔導、社區營造/文化產業、志工培訓、管理、其他,社區居民、家庭、婦女、青少年、兒童,http://www.peitou.org.tw,ptlizen.pt@gmail.com,02-28964597,台北市,張詠菡
社團法人台北市原住民關懷協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、到宅服務、諮詢服務和轉介,家庭、婦女、青少年、兒童,,nativecare4@gmail.com,02-25818669,台北市,董文琄
社團法人台北市基督教教會聯合會,心理層面之支持、重建、諮商、教育輔導、職前準備及訓練、照顧者支持與訓練,家庭、青少年,http://www.flyingyouth.org.tw/,tataku0528@gmail.com,02-26521002分機307,台北市,林哲寧
社團法人台北市基督教活水江河全人關懷協會,心理層面之支持、重建、諮商、性別及婚姻輔導、教育輔導、諮詢服務、志工培訓、管理,其他、家庭、婦女、青少年、兒童,,sheila0605@yahoo.com,2764-1232,台北市,林宣伶
社團法人台北市家庭照顧者關懷協會,生活層面之支持與重建、到宅服務、志工培訓、管理、照顧者支持與訓練、諮詢服務和轉介,家庭、老人、身心障礙,http://www.carer.org.tw/,service@carer.org.tw,02-27398737分機11,台北市,廖芳英
社團法人台北市心理復健家屬聯合協會,心理層面之支持、重建、諮商、教育輔導、休閒/體育及文化活動、志工培訓、管理、社會網絡與倡導,其他、社區居民、家庭、身心障礙,http://www.hsinye-spring.org.tw,eeyore@hsinye-spring.org.tw,02-23660399,台北市,徐敏雯
社團法人台北市心生活協會,生活層面之支持與重建、心理層面之支持、重建、諮商、復康復健、就業服務、照顧者支持與訓練,家庭、身心障礙,https://www.unitedway.org.tw/www.%E5%BF%83%E7%94%9F%E6%B4%BB.tw,heart.life@msa.hinet.net,02-27396882,台北市,吳姿儀
社團法人台北市恩加貧困家庭協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、諮詢服務、志工培訓、管理,社區居民、原住民、家庭、青少年、兒童、身心障礙,http://www.enjia.org.tw,enjia@so-net.net,02-23091388*11,台北市,楊靜齡
社團法人台北市新活力自立生活協會,生活層面之支持與重建、社區居住/照顧、社會網絡與倡導,青少年、身心障礙,http://www.vitality.org.tw,chunil92@gmail.com,02-29303229,台北市,林君潔
社團法人台北市日日春關懷互助協會,生活層面之支持與重建、心理層面之支持、重建、諮商、疾病或藥酒毒癮服務、社會網絡與倡導、其他,其他、藥酒毒癮者、勞工、社區居民、組織專業、婦女、青少年、身心障礙,http://www.coswas.org,coswas@mail2000.com.tw,02-25531883,台北市,鍾君竺
社團法人台北市晚晴婦女協會,心理層面之支持、重建、諮商、志工培訓、管理、性別及婚姻支持服務、諮詢服務和轉介、社會網絡與倡導,婦女,http://warmlife.womenweb.org.tw/,warm.life@msa.hinet.net,02-27080126,台北市,蘇玥蓉
社團法人台北市歐伊寇斯OIKOS社區關懷協會,,,http://www.oikos.tw,yhslin@hotmail.com,02-23414322分機604,台北市,王宣雅
社團法人台北市生命線協會,心理層面之支持、重建、諮商,社區居民,http://www.lifeline.org.tw/,lai@lifeline.org.tw,02-25024242,台北市,賴怡臻
社團法人台北市盲人福利協進會,職業訓練、就業輔導、社會教育、推廣教育、社區發展、經濟扶助、權益倡導、專業訓練,,http://www.tbwa.tw/,a2558500@ms52.hinet.net,02-25585000分機11,台北市,陳志洋
社團法人台北市脊髓損傷者協會,生活層面之支持與重建、心理層面之支持、重建、諮商、教育輔導、休閒/體育及文化活動、諮詢服務和轉介,身心障礙,http://www.scitpe.org.tw,scitpe@scitpe.org.tw,02-23821086,台北市,左千芸
社團法人台北市行無礙資源推廣協會,生活層面之支持與重建、輔助科技及無障礙環境協助、志工培訓、管理、諮詢服務和轉介、社會網絡與倡導,家庭、青少年、身心障礙,http://www.sunable.net,sunable.net@gmail.com,02-25994649,台北市,許朝富
社團法人台北市視障者家長協會,生活層面之支持與重建、教育輔導、就業服務、職前準備及訓練、照顧者支持與訓練,身心障礙,http://www.forblind.org.tw,ken@forblind.org.tw,02-27177722,台北市,張育禎
社團法人台北市身心障礙游泳協會,休閒/體育及文化活動,其他、社區居民、家庭、青少年、兒童、身心障礙,,tdsa.taipei@msa.hinet.net,02-27151001,台北市,陳懿卿
社團法人台北市身心障礙者關愛協會,職業訓練、就業輔導、社會教育、推廣教育、收容安置、日間照顧、安養服務、社區發展、志願服務、專業訓練、托育服務、安親課輔、親職教育、資訊提供、法律諮詢、關懷訪視,,http://www.gaas.org.tw,karasfung661101@yahoo.com.tw,-,台北市,馮冠芬
社團法人台北生命勵關懷協會,職業訓練、就業輔導、社會教育、推廣教育、社區發展、早期療育、志願服務、康樂休閒、健康維護,社區居民、組織專業、家庭、婦女、身心障礙,http://lifego.org.tw,mail20041213@yahoo.com.tw,27270907,台北市,潘曉琪
